"height","layers__data","layers__height","layers__name","layers__opacity","layers__type","layers__visible","layers__width","layers__x","layers__y","nextobjectid","orientation","renderorder","tiledversion","tileheight","tilesets__firstgid","tilesets__source","tilewidth","type","version","width"
"100","0","100","Tile Layer 1","1","tilelayer","True","100","0","0","1","orthogonal","right-down","1.0.3","32","1","placeHolder.tsx","32","map","1","100"
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
"","0","","","","","","","","","","","","","","","","","","",""
